Manufacturer,Model,Customer Email Domain,Production Size (mm)
Ayrton,Diablo,,25.5
Ayrton,Diablo,dbnaudile.co.uk,25
Robe,Pointe,,15.9
Robe,MegaPointe,,15.9
Robe,Gigapointe,,15.9
Robe,Ipointe,,15.9
Robe,iPointe 65,,15.9
Robe,LED Pointe,,15.9
Robe,Painte,,15.9
Equinox,Gobo Projector XP80W,,44
Equinox,XP 80 Watt,,44
ETC,Source Four Zoom A-Size,,100
ETC,Source Four Zoom B-Size,,86
Evica,GP40,,37.5
Chauvet,Maverick Force X Spot,,23.7
Chauvet,Maverick Force 2 Spot,,25.5
Chauvet,Intimidator Spot 200 / 300 Range,,23.7
Chauvet,EZ Gobo Projector,,25.5
Chauvet,Rogue R2 Spot Metal,,exclude
ETC,Source Four Junior - M size,,66
ETC,Source Four Revolution,,66
