Manufacturer,Model,Glass Diameter (mm),Image Diameter (mm),Closest Production Size (mm),Undercut (mm),Production Review,Notes
"5 Star Systems","Spica 250M","37","28","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"Abstract","AVR LP50","37.5","20","37.5","0","",""
"Abstract","Futurescan 2CE","14","9","","","No production size at or below 14 mm",""
"Abstract","Futurescan 3","16","14","16","0","","Square gobo, not round."
"Abstract","Twister 4","11","9","","","No production size at or below 11 mm",""
"Abstract","VR8 Scanner, VR8, VRX, VRXSR","22","14","21.4","0.6","",""
"AC Lighting","Tour Spot","27.8","23","27.8","0","",""
"ACME Lighting","AECO 5","22.5","17","22.5","0","","Glass gobos only."
"ACME Lighting","AECO 10","29.8","22","27.8","2","Nearest size is 2 mm under the holder","Glass gobos only. 2.5mm Maximum Thickness."
"ACME Lighting","AECO 15","29.8","22","27.8","2","Nearest size is 2 mm under the holder","Glass gobos only. 2.5mm Maximum Thickness."
"ACME Lighting","AECO 30 IP","34","26.5","33.8","0.2","","Glass gobos only."
"ACME Lighting","Energy Spot Pro","26.8","19","26.5","0.3","","Glass gobos only."
"ACME Lighting","GEIST BEAM","22.5","11","22.5","0","","High-temperature glass gobos only. 1.1mm Maximum Thickness."
"ACME Lighting","GEIST BSWF","22.5","17","22.5","0","","Glass gobos only. 2.5mm Maximum Thickness."
"ACME Lighting","Leo","22.5","11","22.5","0","","High-temperature glass gobos only. 1.1mm Maximum Thickness."
"ACME Lighting","Lyra","22.5","17","22.5","0","","Glass gobos only. 2.5mm Maximum Thickness."
"ACME Lighting","Lyra BW","32","28","31.5","0.5","",""
"ACME Lighting","Mana Hybrid","20","12","20","0","","Glass gobos only. 2.5mm Maximum Thickness."
"ACME Lighting","Mana Profile","20","17","20","0","","2.5mm Maximum Thickness."
"ACME Lighting","RAY 500","22.5","11","22.5","0","","High-temperature glass gobos only. 1.1mm Maximum Thickness."
"ACME Lighting","Solar Flare","37.3","25","35.3","2","Nearest size is 2 mm under the holder","Glass gobos only."
"ACME Lighting","Solar Wind","22.5","11","22.5","0","","Glass gobos only. 2.5mm Maximum Thickness."
"ACME Lighting","Supernova","34","26.5","33.8","0.2","","Glass gobos only."
"ACME Lighting","Virgo","22.5","12","22.5","0","","High-temperature glass gobos only. 1.1mm Maximum Thickness."
"ACME Lighting","Willow 200","21.3","16","20","1.3","Nearest size is 1.3 mm under the holder",""
"ACME Lighting","Willow 500","26.8","16.8","26.5","0.3","","Glass gobos only. 2.5mm Maximum Thickness."
"ADB","1K - not Europe Series","100","75","100","0","","Gobo holder: GH24 metal."
"ADB","2K - not Europe Series","100","75","100","0","","Gobo holder: GH25 metal."
"ADB","A59Z, 500W/600W","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: GH52 metal."
"ADB","DS54, DW54","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: GH15 metal / GH55 glass."
"ADB","Orkis","86","64.5","86","0","","Metal gobos only."
"ADB","Warp 800W Zoom","86","64.5","86","0","",""
"Altman","1K Leko","86","64","86","0","","GoboPlus lists image 64.5mm - verify."
"Altman","3-1/2""","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Altman","3.5Q","53","43","50","3","Nearest size is 3 mm under the holder","GoboPlus lists glass 58.75mm; image 45mm - verify."
"Altman","360/360Q","82","58","70","12","Nearest size is 12 mm under the holder",""
"Altman","360Q","86","64.5","86","0","","Gobo holder: 15786 metal and glass / GH09 metal."
"Altman","Europe Series","100","75","100","0","","Gobo holder: GH34 metal / GH57 glass."
"Altman","Master","37.5","28","37.5","0","","Gobo holder: Discontinued."
"Altman","Master Ellipse","37.5","29","37.5","0","",""
"Altman","ME4+","37.5","31","37.5","0","",""
"Altman","Micro Ellipse","37.5","29","37.5","0","","GoboPlus lists image 28mm - verify."
"Altman","PHX 150 Profile - A size Holder","100","75","100","0","",""
"Altman","PHX 150 Profile - B size Holder","86","64.5","86","0","",""
"Altman","Shakespeare","86","64.5","86","0","","Gobo holder: 15786 metal and glass / GH09 metal."
"American DJ","Accu Color 250","26.2","25.5","25.5","0.7","","Use 25.5 glass with no ring. GoboPlus lists 26 mm / 22 mm - verify."
"American DJ","Accu Roller 250","25","20","25","0","",""
"American DJ","Accu Scan 250","25","20","25","0","",""
"American DJ","Accu Spot 250","24","20","23.7","0.3","",""
"American DJ","Accu Spot 250 Hybrid","26.7","24","26.5","0.2","","GoboPlus lists image 22mm - verify."
"American DJ","Accu Spot 250 II","25","20","25","0","",""
"American DJ","Accu Spot 250 PRO","26.7","24.7","26.5","0.2","","GoboPlus lists image 22mm - verify."
"American DJ","Accu Spot 250/2","25","20","25","0","",""
"American DJ","Accu Spot 300","25","20","25","0","",""
"American DJ","Accu Spot 575","27","2","26.5","0.5","","Image area unusually small against the 27 mm glass - verify."
"American DJ","Auto Spot 150","27.8","18","27.8","0","",""
"American DJ","Concept 1","13.8","12.5","","","No production size at or below 13.8 mm","Cannot supply."
"American DJ","Concept 1, Concept 2","13.8","12.5","","","No production size at or below 13.8 mm",""
"American DJ","Concept 2","13.8","12.5","","","No production size at or below 13.8 mm","Cannot supply."
"American DJ","Design Spot 250 Pro","26.7","23","26.5","0.2","",""
"American DJ","DJ Spot 300","27.6","23","26.5","1.1","Nearest size is 1.1 mm under the holder",""
"American DJ","Eliminator Stealth Spot","18.8","13","16","2.8","Nearest size is 2.8 mm under the holder",""
"American DJ","Encore Profile 1000","61","51","53.3","7.7","Nearest size is 7.7 mm under the holder","GoboPlus lists image 49.5mm - verify."
"American DJ","Encore Profile Mini - Glass Gobos","39.5","31","37.5","2","Nearest size is 2 mm under the holder",""
"American DJ","Encore Profile Mini - Metal Gobos","45","31","44","1","Nearest size is 1 mm under the holder",""
"American DJ","Encore Profile Pro Color - Glass Gobo","78","68","70","8","Nearest size is 8 mm under the holder","2mm Maximum Thickness."
"American DJ","Encore Profile Pro Color - Metal Gobo","88","68","86","2","Nearest size is 2 mm under the holder",""
"American DJ","Fantasy 250","32.6","30.4","31.5","1.1","Nearest size is 1.1 mm under the holder",""
"American DJ","Fantasy Scan 250","25","20","25","0","",""
"American DJ","Focus Hybrid","16.5","9","16","0.5","",""
"American DJ","Focus Profile","23","19","22.5","0.5","",""
"American DJ","Focus Spot 2X","23","19","22.5","0.5","","Metal gobos only. GoboPlus lists glass 23.8mm (metal ring); image 15mm - verify."
"American DJ","Focus Spot 3Z","23.8","20","23.7","0.1","",""
"American DJ","Focus Spot 4Z","22.5","19","22.5","0","","2mm Maximum Thickness."
"American DJ","Focus Spot 5Z","23","19","22.5","0.5","","3.3mm Maximum Thickness."
"American DJ","Focus Spot 7z","23","19","22.5","0.5","","Glass gobos only."
"American DJ","Focus Spot Five Z","23","19","22.5","0.5","","Metal gobo."
"American DJ","Focus Spot Four Z","23","19","22.5","0.5","","Metal gobo."
"American DJ","Focus Spot Four Z Pearl","23","19","22.5","0.5","",""
"American DJ","Focus Spot One","23.8","19","23.7","0.1","","Metal gobos only."
"American DJ","Focus Spot Six Z","23","19","22.5","0.5","","Metal gobo."
"American DJ","Focus Spot Three Z","23.8","20","23.7","0.1","","Glass gobo."
"American DJ","Focus Spot Two","23.8","19","23.7","0.1","","Metal gobos only."
"American DJ","Focus Spot Two Z","23.8","19","23.7","0.1","","Glass gobo."
"American DJ","FS600LED","27","23","26.5","0.5","",""
"American DJ","Gobo Motion LED","20.5","12","20","0.5","",""
"American DJ","Gobo Projector IR","26.8","22","26.5","0.3","",""
"American DJ","Gobo Projector LED","26.8","24","26.5","0.3","",""
"American DJ","Gobo Projector LED 10W","26.8","22","26.5","0.3","",""
"American DJ","Gobo Spot","37","25","35.3","1.7","Nearest size is 1.7 mm under the holder",""
"American DJ","GP 250 Gobo Projector","32","25","31.5","0.5","",""
"American DJ","Hydro Beam X2","9.8","6.5","","","No production size at or below 9.8 mm",""
"American DJ","Hydro Hybrid","17","12","16","1","Nearest size is 1 mm under the holder","Glass gobos only."
"American DJ","Hydro Profile","23","19","22.5","0.5","",""
"American DJ","Hydro Spot 1","23","19","22.5","0.5","",""
"American DJ","Hydro Spot 2","23","19","22.5","0.5","",""
"American DJ","Icon","26","20","25.5","0.5","",""
"American DJ","Ikon IR","54","39.75","53.3","0.7","",""
"American DJ","Ikon IR LED","54","38","53.3","0.7","",""
"American DJ","Ikon IR LED - Glass Gobo","50","38","50","0","","Donut/bezel mount. 54 mm donut, 50 mm glass."
"American DJ","Ikon LED","54","36","53.3","0.7","","GoboPlus lists image 33mm - verify."
"American DJ","Ikon Profile","26.8","24","26.5","0.3","",""
"American DJ","Ikon Profile GOBO Projector","26.8","22","26.5","0.3","",""
"American DJ","Ikon Profile Plus Gobo Projector","26.8","24","26.5","0.3","",""
"American DJ","Image 250","53.3","28","53.3","0","",""
"American DJ","Inno Roll HP","23.8","19","23.7","0.1","",""
